compound_name,formula,polarity,best_adduct,rtmin,rtmax
"Ornithine, 2H6",C5H(2)6H6N2O2,both,[M+H]+,16.12677847,18.19865815
"Sulfoacetic acid, 13C2",C(13)2H4O5S,neg,[M-H]-,14.47182897,15.07115973
"Homarine, 2H3",C7H(2)3H4NO2,both,[M+H]+,5.02370801,6.413417281
"L-Methionine, 2H3",C5H(2)3H8NO2S,both,[M+H]+,6.760565866,8.008672394
"Guanine, 13C, 15N2",C(13)C4H5N(15)2N3O,both,[M+H]+,8.152684686,8.992756387
"L-Histidine, 15N",C6H9N2N(15)O2,pos,[M+H]+,17.3934734,23.73001423
"L-Cysteic acid, 2H3",C3H(2)3H4NO5S,both,[M-H]-,12.55350964,13.19157599
"3-Sulfolactate, 13C3",C(13)3H5O6S-,neg,[M]-,14,14.5
"Citrulline, 2H4",C6H(2)4H9N3O3,both,[M+H]+,11.80562441,12.53754553
"Arsenobetaine, 13C2",C(13)2C3H11AsO2,pos,[M+H]+,6.832572012,7.768651908
"L-Arginine, 13C6, 15N4",C(13)6H14N(15)4O2,both,[M+H]+,18.13753691,19.69767007
"Glucosamine, 13C6",C(13)6H13NO5,pos,[M+H]+,9.989463272,10.87556195
"Adenosine monophosphate, 15N5",C10H14N(15)5O7P,neg,[M-H]-,11.19245995,12.24692992
"Sucrose, 13C12",C(13)12H22O11,both,[M-H]-,11.50537916,12.24062064
"Trehalose, 13C12",C(13)12H22O11,neg,[M-H]-,12.40045575,13.05577969
"Guanosine monophosphate, 15N5",C10H14N(15)5O8P,neg,[M-H]-,13.78570508,14.86521302
